produto;descrição;qut;precro_bruto;prateleira
711101;ANEL ANTI CHAMA VW GOL VOYAGE SANTANA PASSAT 92/..;15,;7,61;SEL-1_D.7
222205BN;ANEL ATUADOR ROLAMENTO EMBREAGEM CAMBIO GM ASTRA C;0,;2,14;
113511;ANEL BBA COMB VW PASSAT GOL SANTANA 1.6 1.8 2.0 FO;0,;4,92;
154180021;ANEL BBA D AGUA CANO HYUNDAI ACCENT GL GS GSI ELAN;0,;4,40;
1440574;ANEL BBA D AGUA FIAT MAREA 1.8 16 VAL 2.0 2.4 20 V;0,;7,04;RET-02.4
124104;ANEL BBA D AGUA FLANG LATERAL COROA CAMBIO GM MONZ;12,;8,45;DIV-1_C.3
124105;ANEL BBA D AGUA GM CORSA CELTA PRISMA MERIVA 1.0 1;7,;3,42;DIV-1_C.4
15401753;ANEL BBA D AGUA RENAULT MASTER 2.5 16 VAL G9U 720;0,;52,91;
1541222;ANEL BBA D AGUA TOYOTA LANDCRUISER COASTER DELTA D;0,;11,49;
114210;ANEL BBA D AGUA VW GOL PARATI SAVEIRO MI 1000 AT 8;10,;4,89;DIV-3_D.5
1442494;ANEL BBA OLEO FIAT UNO SMART PALIO SIENA IDEIA PUN;0,;10,24;
151756051BN;ANEL BICO TV HYUNDAI HR 13/... KIA SORENTO EX 2.5;0,;160,66;
123504;ANEL BOBINA DIST GM MONZA KADETT IPANEMA ASTRA VEC;61,;4,75;DIV-3_E.5
14424910BN;ANEL BOBINA FIAT UNO SMART PALIO SIENA IDEIA PUNTO;0,;2,39;
14424911;ANEL BOBINA QUADRADO FIAT UNO SMART PALIO SIENA ID;20,;2,41;DIV-2_C.3
15171553BN;ANEL BOR 4PÇS CONICO PROTETOR BICO TOYOTA HILLUX P;5,;155,47;C20-D.2
451860;ANEL BOR CORPO TBI NISSAN TIIDA SENTRA MR20DE 16V.;0,;31,75;
1442875;ANEL BOR FIAT DOBLO GRAND SIENA IDEA PALIO PUNTO S;0,;8,47;
1442871;ANEL BOR FIAT DOBLO GRAND SIENA IDEA PALIO PUNTO S;0,;8,47;
133583;ANEL BOR FORD DURATORQ PUMA TDCI (22DDOP) 2.2 16V;0,;110,72;
15420210;ANEL BOR RENAULT TRAFIC C 11 PECAS;0,;7,55;
151750131BN;ANEL BOR TUBO INJ TOYOTA ETIOS MTR 2NR-FE DUAL VVT;1,;169,84;TV-12_F.2.C
1417913BN;ANEL BOR TV 18 PCS  CHRYSLER DODGE FIAT JEEP FREEM;0,;45,26;
12171663BN;ANEL BOR TV 18 PCS GM S10 TRAIL BLAZER CTDI LTZ 2.;0,;56,77;
151780013BN;ANEL BOR TV 18 PCS HYUNDAI IX35 2010/...TUCSON SON;0,;65,38;
15171461BN;ANEL BOR TV 2 PECAS TOYOTA COROLLA VVTI FILDER VVT;0,;11,28;
151754031BN;ANEL BOR TV 6 CHRYSLER DODGE MITSUBISHI 2 5 3 0 V6;0,;135,71;
1417871BN;ANEL BOR TV FIAT DOBLO GRAND SIENA IDEA PALIO PUNT;2,;62,83;C10_F.3.B
1517091BN;ANEL BOR TV GM S10 BLAZER M BENS SPRINTER LAND ROV;0,;19,71;
4114117BN;ANEL BOR TV GUIA BICO VELA 2 PCS VW AMAROK 2,0 4CI;0,;33,54;
11171178BN;ANEL BOR TV GUIA BICO VELA 2 PCS VW AMAROK MTR CNF;0,;47,96;
151760033BN;ANEL BOR TV NISSAN FRONTIER PARTHIF 2.5 16V 26X45X;13,;153,85;C10-C.3
151796021BN;ANEL BOR TV PEU 207 208 308 408 508 2008 3008 RCZ;0,;98,36;
151796021SL;ANEL BOR TV SILIC PEU 207 208 308 408 508 2008 300;0,;98,66;
151750133BN;ANEL BOR TV TOYOTA ETIOS MTR 2NR-FE DUAL VVTI 1.3;0,;171,66;
CFX201;ANEL BORR ESCAP GM CHEVETTE OPALA;0,;1,67;
113502;ANEL BORRACHA CAPA TUCHO VW FUSCA BRASILIA KOMBI 1;10,;20,85;
123603;ANEL BUJAO CAR GM ASTRA VECTRA S10 2.0 2.2 8V E 16;0,;3,49;
123649;ANEL BUJAO GM ASTRA VECTRA S10 2.0 2.2 8V E 16V CO;0,;1,31;
251372;ANEL CAMBIO 5 MACHA RENAULT R19 R21 CLIO MEGANE SC;0,;29,20;
211305;ANEL CAMBIO VW PASSAT GOL VOYAGE PARATI SANTANA 4;0,;19,96;
163847;ANEL CAMISA VITON MTR MERCEDES OM 501 502 150 X 15;0,;188,54;
1838094;ANEL CAMISA VITON MWM D229 4 6 CIL;0,;22,27;
1542725;ANEL CAMISA VITON RENAULT CLIO R9 R11 R19 R21 C1C;0,;47,55;SEL-1_D.4
1542053;ANEL CAMISA VITON RENAULT TRAFIC DIESEL;0,;43,75;
1542029;ANEL CAMISA VITON RENAULT TRAFIC GAS;0,;59,61;
1442574;ANEL CANO D AGUA FIAT MAREA BRAVA STILO ABARTH 1.8;0,;3,47;
1440051;ANEL CANO D AGUA FIAT UNO PALIO SIENA TIPO 1.6 8 1;0,;2,25;
1442493;ANEL CANO D AGUA MTR SMART FIRE EVO 1.0 1.4 8V 27,;0,;2,10;
1542865;ANEL CANO D AGUA PEUGEOT RENAULT TODOS;0,;10,91;
114216;ANEL CANO D AGUA VW GOL PARATI SAVEIRO MI 1000 AT;35,;4,69;DIV-3_D.1
113532;ANEL CAPA TUCHO VW GOL1300 BX REFRIGERACAO AR;0,;40,91;
134245;ANEL CARC VAL TERMOSTATICA FORD FIESTA ECOSPORT SU;5,;16,83;DIV-3_G.3
723301;ANEL CEBOLAO VW GM FIAT TODOS EXCETO CHEVETTE;0,;2,88;
15213301;ANEL COL ADM  SIL BMW 118I 120I E81/E87 318I 320I;0,;187,76;
1421852;ANEL COL ADM 04 PCS FIAT EVO GRAND IDEA 500 PALIO;10,;53,22;COL-P3_F.1
1121891;ANEL COL ADM 04 PCS VW BORA NEW BEETLE GOLF SHARAN;0,;106,69;
1521116;ANEL COL ADM BOCAL RENAULT CLIO MEGANE SCENIC KANG;4,;39,39;COL-P3_G.5
1521179;ANEL COL ADM BOCAL RENAULT CLIO MEGANE SCENIC KANG;0,;42,19;
114206;ANEL COL ADM BOCAL VW PASSAT SANTANA GOL AP 1.6 1.;2,;2,34;DIV-1_C.1
112105;ANEL COL ADM BOR VW GOL SAVEIRO PARATI MI 1.0 16V;2,;14,15;COL-P3_B.1
112106;ANEL COL ADM BOR VW GOL SAVEIRO PARATI MI 1.0 GOLF;22,;12,25;COL-P3_B.2
142153;ANEL COL ADM FIAT PALIO SIENA DOBLO 1.0 1.3 16V 99;26,;44,14;COL-P3_F.3
142149;ANEL COL ADM FIAT PALIO SIENA FIRE VW GOL POWER;230,;22,25;COL-P3_A.3
1421491;ANEL COL ADM FIAT UNO SMART PALIO SIENA IDEIA PUNT;10,;75,23;COL-P3_F.2
1321493;ANEL COL ADM FORD ESCORT ZETEC 1.8 2.0 16 VAL;28,;39,48;COL-P3_D.4
1221117;ANEL COL ADM GM CORSA CELTA PRISMA MERIVA FIAT PAL;33,;60,55;COL-P3_I.5
15211711;ANEL COL ADM HONDA CIVIC NEW CIVIC FIT 1.7 16V FLE;0,;88,01;
15218008;ANEL COL ADM I30 IX35 ELANTRA CRETA KIA SPORTAGE M;0,;87,83;
11211151;ANEL COL ADM INJE VW BORA 03/11 GOLF 03/14 POLO 03;0,;251,18;
1121811;ANEL COL ADM INJE VW GOLF SR BORA AUDI A3 A4 AEH A;4,;77,82;COL-P3_B.3
1521231;ANEL COL ADM KIA BESTA GS DIESEL;0,;21,58;
15218601;ANEL COL ADM LOGAN SANDERO KWID MTR SCE B4D FLEX 1;4,;62,14;COL-P3_I.4
1521141;ANEL COL ADM PEUGEOT 206 307 406 407 607 806 807 X;8,;39,99;COL-P3_H.7
1521120;ANEL COL ADM PEUGEOT 306 406 2.0 8 VAL XU10J2C (RF;0,;62,99;
1521100;ANEL COL ADM PEUGEOT 306 406 CITROEN 1.6 XU5J 1.8;0,;55,18;
1521981;ANEL COL ADM PEUGEOT 306 406 CITROEN XANTIA XSARA;5,;34,72;COL-P3_G.7
15211002;ANEL COL ADM PEUGEOT CITROEN BERLINGO 1.8 XU7JB 8V;0,;47,25;
152186;ANEL COL ADM RENAULT CLIO KANGOO TWINGO D7D D7F 1.;4,;37,75;COL-P3_G.1
152187;ANEL COL ADM RENAULT CLIO KANGOO TWINGO SANDERO PE;24,;27,31;COL-P3_H.3
15211083;ANEL COL ADM RENAULT MEGANE SCENIC LAGUNA K4J 1 4;12,;12,08;COL-P3_B.8
1421532;ANEL COL ADM SENSOR FIAT FIRE 1.0 1.3 16 VAL;7,;61,31;COL-P3_B.6
1421492;ANEL COL ADM SENSOR FIAT UNO SMART PALIO SIENA IDE;17,;55,16;COL-P3_E.5
1421493;ANEL COL ADM SENSOR FIAT UNO SMART PALIO SIENA IDE;6,;75,86;COL-P3_E.7
12211172;ANEL COL ADM SENSOR GM CORSA CELTA MERIVA 1.0 1.8;48,;62,13;COL-P3_D.7
15211082;ANEL COL ADM SENSOR RENAULT CLIO MEGANE LAGUNA SCN;6,;48,74;COL-P3_H.4
112104;ANEL COL ADM VW FUSCA BRASILIA KOMBI 1300 1500 160;15,;4,57;COL-11_C.2
112181;ANEL COL ADM VW GOLF SR BORA AUDI A3 A4 AEH AKL AH;6,;35,85;COL-P3_C.8
152032;ANEL COL ESCAP GURGEL SUPER MINI BR 800 31.5X40.0X;0,;8,49;
4212117;ANEL CORPO BORBOLETA GM CORSA MERIVA 1.0 1.8 FLEX;0,;11,87;
15401068;ANEL DIST COROLLA 92/99 1.6 16V 4AFE 1.8 16V 7AFE;0,;3,82;
143501;ANEL DIST FIASA NACIONAL ELBA FIAT 147 FIORINO OGG;0,;2,22;
123549;ANEL DIST GM MONZA CORSA CELTA PRIS MERI 1.0 1.4 1;0,;5,48;
153502;ANEL DIST RENAULT TRAFIC R21 2 0 2 2 GAS;0,;9,82;
113503;ANEL DIST VW FUSCA BRASILIA KOMBI VARIANT 1300 150;40,;3,15;
114214;ANEL DIST VW GOL PARATI SAVEIRO MI 1000 AT 8V E 16;0,;3,29;
CFX105;ANEL ESCAP  VW SANTANA LOGUS;0,;2,07;
15636221;ANEL FILTRO SELENOIDE VTEC HOND ARCORD CIVIC CR-V;0,;108,51;
15636220;ANEL FILTRO SELENOIDE VTEC HONDA ACCORD HYBRID ODY;0,;108,51;
15636207;ANEL FILTRO TELA SOLENOIDE HONDA CIVIC CITY CR-Z E;51,;94,39;DIV-1_D.2
15411853;ANEL FILTRO TELA VEDACAO VALVULA VTEC SOLENOIDE HO;12,;78,66;DIV-1_C.5
144264;ANEL FLANGE CABE TUBO D AGUA VW GOL SANTANA AP 1.8;0,;4,62;
151760043BN;ANEL GR NISSAN FRONTIER PATHFINDER YO25ET 2.5 16V;5,;156,71;C10-E.1.A
1717304BN;ANEL JTA BICO INJ GM D60 D12000 D14000 D22000 DODG;0,;1,31;
211301;ANEL LATERAL CAMBIO GROSSO VW FUSCA BRASILIA KOMBI;0,;7,31;
15402351;ANEL MITSUBISHI CARISMA EXPO LANCER PAJERO TR4 FLE;0,;6,94;
154362;ANEL ORING ANTI CHAMA HONDA CIVIC D15Z3 8 D16Z6 7 ;0,;4,00;
15273301;ANEL ORING BOR BBA VACUO BMW 116I 316I 1.6 16V 200;0,;9,25;
12371643;ANEL ORING BORRACHA CANO ENTRADA RESF OLEO MOTOR G;0,;2,21;
15411711;ANEL ORING DISTRIBUIDOR HONDA CIVIC D15 1.5 D16 1.;0,;7,56;
1817231BN;ANEL ORING PRISI TV MTR MWM X10 X12 4.12 6.12 SERI;0,;0,36;
1317834BN;ANEL PARAFUSO FORD DURATORQ PUMA TDCI (22DDOP) 2.2;0,;105,63;
1317864BN;ANEL PARAFUSO FORD RANGER 13/... TROLLER - T4 MTR;0,;96,43;
113701;ANEL RADIADOR OLEO VW FUSCA BRASILIA KOMBI 1300 15;0,;3,49;SEL-1_G.6
113507;ANEL RADIADOR OLEO VW IMPORTADO;0,;10,25;
113702;ANEL RADIADOR OLEO VW VARIANT;0,;10,61;
1442491;ANEL RESPIRO OLEO FIAT UNO SMART PALIO SIENA IDEIA;0,;6,80;
15211081;ANEL SENSOR RENAULT CLIO MEGANE LAGUNA SCNIC MOTOR;0,;35,06;
1442499;ANEL SENSOR TEMPERATURA D AGUA FIAT UNO SMART PALI;16,;8,69;DIV-2_D.2
12211241;ANEL SENSOR TEMPERATURA D AGUA GM COBALT MERIVA MO;0,;22,59;
12211171;ANEL SENSOR TEMPERATURA D AGUA GM CORSA CELTA MERI;0,;11,13;
1440537;ANEL SENSOR TEMPERATURA D AGUA GM CORSA FIAT FIRE;0,;8,69;DIV-2_B.6
114215;ANEL SENSOR TEMPERATURA D AGUA VW GOL MI 1.0 8V E;0,;3,25;
152168033;ANEL SENSOR TEMPERATURA DAGUA GM TRACKER SUZUKI GR;0,;14,26;
14424910;ANEL SIL BOBINA FIAT UNO SMART PALIO SIENA IDEIA P;12,;4,16;DIV-3_I.3
124104SL;ANEL SILIC BBA D AGUA FLANG LATERAL COROA CAMBIO G;0,;17,32;
79770AN;ANEL STD 4 CIL 69 MM 1,2 X 1,5 X 2,5 PEU/REN 1.0;0,;205,84;
111070AN;ANEL STD 72 MM FIAT PALIO FIRE 1.4 8V FLEX  COD. F;0,;110,01;
58055040AN;ANEL STD 82 MM GM CHEVETTE 1.6 GAS HATCH MARAJÓ ..;0,;132,66;
58004070AN;ANEL STD 86,4 MM FIAT ELBA FIORINO PREMIO TIPO 1.6;0,;122,85;
391701071BN;ANEL TAMPA VALVULA MOTOCICLETA HONDA MTR CG TITAN;0,;1,56;
13733;ANEL TAMPA/ENCHIMENTO OLEO DO MOTOR PALIO FIRE TDS;0,;2,59;PRAT RESERVAS
1542222;ANEL TOYOTA LANDCRUISER COASTER DELTA DYNA TOYO AC;0,;0,91;
154050021;ANEL TOYOTA LANDCRUISER COASTER DYNA 200 DAIHATSU;0,;1,36;
1442331;ANEL TP COMANDO FIAT PALIO WEEKEND STRADA BRAVA 1.;0,;3,15;
134290BN;ANEL TP DIST FORD KA KA+ NEW FIESTA ECOBOOST TIVCT;0,;14,72;
1140023;ANEL TROCADOR CALOR 60 X 5 VW PASSAT GOL SANTANA S;0,;18,60;
15401342;ANEL TROCADOR CALOR CITROEN C3 C4 C5 C8 PEUGEOT 20;0,;78,09;
1440573;ANEL TROCADOR CALOR FIAT MAREA BRAVA STILO ABARTH;0,;41,29;
124213;ANEL TUBO BBA OLEO GM CHEVETTE 1.4 1.6 JUNIOR 1000;0,;3,15;
114103;ANEL TUBO D AGUA VW GOL SAVEIRO PARATI AT MI 1000;90,;3,42;DIV-3_H.3
211302;ANEL TUBO SEMI-EIXO CAMBIO FINO VW FUSCA BRASILIA;0,;6,73;
1417571BN;ANEL TV (TP ALUMINIO) FIAT MAREA BRAVA 1.8 16V 4 C;0,;47,25;
1417691BN;ANEL TV 12 PECAS (TP PLASTICA) FIAT MAREA BRAVO ST;0,;42,58;
1417531BN;ANEL TV 12 PECAS 15.3X1.78 FIAT PALIO FIRE 1.0 1.3;0,;19,55;
15171961SL;ANEL TV BOR  MIT PAJERO TD TRITON NISSAN FRONTIER;0,;75,98;
12171613BN;ANEL TV BOR 26 PCS GM CAPTIVA MTR 10HM 3.6 24V V6;0,;36,96;
1417881BN;ANEL TV BOR 4 PCS  FIAT DOBLO GRAN SIENA SIENA IDE;3,;31,72;C9-G.3
12171661BN;ANEL TV BOR 4 PCS CTDI LTZ 2.8 4 CILS 16V DIESEL G;6,;140,15;C-20_E.3.B
15171123BN;ANEL TV BOR 4 PCS GDE HONDA CIVIC D15ZI D16A6 D16Z;0,;33,68;C30-A.2
15172231BN;ANEL TV BOR 4 PCS GDE TOYOTA HILUX LANDCRUISE T100;0,;140,80;
15171363BN;ANEL TV BOR 4 PCS HONDA CIVIC 16V D15B1 D15B2 D15B;0,;49,28;
15171773BN;ANEL TV BOR 4 PCS HYUNDAI TUCSON I30 KIA SPORTAGE;3,;47,91;C20-F.3.B
15171941BN;ANEL TV BOR 4 PCS MITSUBISHI PAJERO IO 98/ TR4 FLE;6,;58,74;C20_J.2
15172283BN;ANEL TV BOR 4 PCS PEQ HONDA ACCORD PRELUDE 1 8 2 0;0,;155,04;
1517871BN;ANEL TV BOR 4 PCS RENAULT CLIO KANGOO TWINGO SANDE;6,;75,56;C30-D.2
15171551BN;ANEL TV BOR 4 PCS TOYOTA HILUX 16V 2KD FTV TURBO D;4,;85,24;C20-C.2
15172233BN;ANEL TV BOR 4 PCS TOYOTA HILUX LANDCRUISE T100 TAC;0,;69,86;
